user_id,acct_type,acct_number,balance,date_created,max_limit
266,saving,3551298562182847,9387.69,2020-09-04,63308.47
43,checking,5108755538235424,18371.51,2020-01-22,53633.15
56,saving,3558837949674449,13453.45,2019-12-23,69888.36
223,checking,676144305984788254,71785.20,2020-06-28,3867.86
198,checking,676110342301548640,89233.13,2019-10-21,75611.15
384,checking,3553226211595455,74295.94,2020-05-12,95122.21
487,saving,30222339261202,6988.73,2020-08-14,7259.01
52,checking,3568831640363053,2204.74,2019-12-31,21803.02
385,ceditcard,6331109712594791,81835.32,2019-12-19,61594.36
421,checking,337941669958067,23978.33,2020-05-07,17152.65
12,checking,3540372997090661,2260.89,2020-07-12,11673.77
6,ceditcard,5048377980777580,11787.70,2019-12-29,67750.68
47,ceditcard,501877301168310091,555.84,2019-12-24,69351.81
271,saving,3578989118002047,71326.92,2020-05-25,52251.24
96,checking,5602253209670815,92718.65,2020-07-30,74954.18
363,ceditcard,3576285614451826,9468.09,2020-01-27,58743.18
137,saving,589372371801201804,52087.72,2019-09-24,15326.66
156,saving,3530094226851703,1369.44,2020-06-05,65127.39
333,ceditcard,201675400254872,11089.53,2019-11-11,32505.20
302,ceditcard,30328506249746,33608.63,2019-12-10,77518.38
233,ceditcard,3570954405537475,65407.51,2019-12-15,96259.72
333,saving,5602222755091080,12125.06,2020-07-15,67690.35
274,saving,3588163303026470,8385.54,2020-08-05,96101.23
338,ceditcard,67617460796805323,98143.73,2020-05-21,30774.32
185,checking,3557437536776656,39703.68,2020-07-26,48610.23
280,saving,3541563091991684,84329.10,2020-04-29,82046.26
80,saving,676350070633420019,78452.66,2019-10-08,6780.40
31,saving,564182932000918234,68538.20,2020-02-04,27994.99
371,ceditcard,201921799307552,47661.17,2019-12-08,66413.40
127,saving,5442117846146691,71680.10,2019-09-13,73201.97
50,checking,5100135645473895,38274.73,2019-12-20,53932.32
398,checking,5602241076517236581,77363.00,2019-10-18,96785.29
160,checking,4913127429330797,27896.34,2019-11-08,82346.44
167,saving,6759609660667186903,80099.15,2020-08-17,58826.07
349,checking,3585241030612276,13864.10,2019-09-12,67334.98
450,saving,344336919780893,96879.49,2019-10-18,7574.82
123,ceditcard,3573598944042963,61355.95,2019-11-01,85851.17
103,ceditcard,3564303498075621,11679.95,2020-06-19,23255.18
447,ceditcard,3558095446787616,83715.39,2020-06-12,64953.58
155,checking,3538653962781127,6172.42,2020-04-17,38829.44
39,ceditcard,3577140452803027,19879.27,2020-03-09,33883.73
318,checking,201672089565520,29802.84,2020-05-05,2825.80
333,saving,201852375083004,33411.73,2019-09-09,71194.56
169,checking,30365744187882,14900.26,2020-04-14,83029.84
335,ceditcard,4041590172040902,7097.85,2020-01-21,37388.87
247,checking,4508151067524157,80695.14,2020-05-05,77652.54
186,ceditcard,6394851624736598,26116.34,2020-06-30,98945.26
43,saving,6334178540073143,25143.08,2020-08-23,6792.80
386,saving,5257507642614682,34786.13,2020-04-11,17055.10
293,saving,3531090775178927,81690.18,2020-03-23,89663.71
59,saving,6767070476602434909,7338.48,2019-10-18,39405.98
103,checking,6763036899877045,89298.86,2020-01-18,20044.48
281,checking,3562745981561461,3012.73,2020-06-17,97067.81
17,saving,3571082574374931,73252.31,2020-08-15,69307.37
162,checking,5610873580722016,45780.59,2020-02-17,95668.38
182,ceditcard,4017951624857,74811.84,2020-06-12,76502.89
397,saving,3572399910735388,22444.43,2019-12-25,33473.26
82,checking,3566765683094617,28958.69,2020-05-22,49624.43
339,ceditcard,30466180537067,6042.03,2020-01-09,76657.57
381,saving,3564811185521459,5868.82,2019-10-10,70227.67
158,ceditcard,6398394926709779,14438.51,2020-07-09,33090.69
463,ceditcard,4936783426472702,62885.75,2020-01-28,78891.65
153,checking,6334729396906529,92611.62,2019-09-13,88937.66
127,checking,63049470958474492,26951.57,2020-05-29,99992.65
30,ceditcard,5641822676371469353,87365.64,2020-05-03,56977.72
382,saving,564182909418879653,13895.88,2020-08-21,34694.19
79,ceditcard,3571862277675373,14757.86,2020-08-03,60752.12
395,checking,30097074473208,77962.09,2020-03-03,79876.38
89,saving,4936326701823745246,21958.69,2020-04-15,69850.86
109,ceditcard,67615110247995791,11911.69,2019-10-20,44433.79
265,checking,4017959872953,91478.84,2020-07-06,48377.88
71,ceditcard,6304285730656546304,7738.84,2020-05-22,55942.49
105,ceditcard,4026528019842063,90096.42,2020-07-10,21462.77
315,ceditcard,633110747880723896,13733.30,2019-12-04,9141.00
126,checking,5108753637064621,69803.15,2020-06-01,93880.58
263,ceditcard,3587072869254288,25550.74,2020-06-26,37541.58
374,ceditcard,3558515478373308,21235.16,2019-11-16,59073.03
79,checking,201933587715615,13980.14,2020-08-06,38266.69
5,saving,30034703559198,29884.19,2020-01-08,42397.67
112,saving,5602232500248869,63774.38,2020-09-02,1790.94
393,checking,3568475417238567,11913.92,2020-06-10,54547.10
75,ceditcard,3567601104630474,54921.74,2020-01-29,6066.26
381,saving,67597426556545098,43122.36,2019-12-29,32816.97
40,ceditcard,5175145498351387,12438.91,2019-10-29,24146.26
273,checking,5018784741608090468,82248.69,2019-12-13,42304.25
334,ceditcard,3550600923528025,91400.33,2020-01-15,29353.95
309,ceditcard,3555095237600369,95397.97,2020-07-29,43277.21
465,ceditcard,3566773632361442,28509.99,2019-12-01,74576.78
335,checking,5108752395536853,52013.14,2020-01-27,4789.86
309,checking,5007669459075523,95478.44,2019-10-23,40212.08
49,saving,3561854988393323,80945.66,2020-07-16,55907.18
49,checking,3564655573993766,47375.62,2020-01-27,1007.99
418,ceditcard,5002350918229259,27736.35,2020-06-07,80037.07
24,saving,3528147204739524,58889.91,2020-02-24,22273.30
473,ceditcard,6389363078677648,77791.81,2019-09-26,9549.31
80,ceditcard,3553589927569209,45495.20,2019-12-31,58186.78
164,checking,4903091925517887740,34535.99,2020-05-06,37749.61
437,checking,5100136630139103,19711.65,2019-12-22,45529.66
257,ceditcard,4844463927769606,35337.79,2019-09-09,12901.59
121,checking,3578104046488207,88828.60,2020-04-03,50297.22
481,saving,67598245941036806,67508.38,2019-12-22,70080.05
467,ceditcard,337941298486134,16014.91,2020-08-24,3596.86
275,saving,3530352138913940,79006.36,2020-08-14,98547.05
391,checking,201764118000171,7927.57,2020-04-25,74294.43
317,saving,3564128971913737,89313.24,2020-02-12,97217.56
331,ceditcard,5007666787928233,32656.88,2019-12-29,70365.31
275,checking,348402193687869,64435.49,2019-11-05,73756.85
371,ceditcard,3544186448952121,66292.42,2019-09-24,92609.17
414,ceditcard,5602240803215741617,34698.56,2019-10-15,71602.91
412,checking,374288955324800,74462.18,2020-01-29,75188.39
89,saving,3573553614935913,86382.30,2020-07-31,81672.32
29,checking,5602210700627546,39623.79,2020-05-17,74170.03
378,checking,503893390250527015,46325.24,2020-06-23,3469.32
165,saving,633322189814856159,93170.84,2020-08-07,69635.65
108,checking,3549636808165537,92124.21,2020-04-27,28429.34
252,ceditcard,5893284344974643746,61787.34,2020-04-21,78618.88
101,ceditcard,5602250361912431,42332.63,2019-12-01,42352.12
363,ceditcard,630403250133967834,1200.76,2019-10-10,40487.29
449,checking,372301783621958,51653.02,2019-12-20,34161.09
68,ceditcard,4041595295631412,97377.54,2019-12-01,19447.60
418,checking,50380816050362171,78814.47,2020-06-23,28971.29
60,checking,4175007185658388,9976.78,2020-07-01,51702.94
425,checking,3572184837066947,89976.48,2019-12-05,78388.64
79,saving,3538257072778385,16944.82,2020-08-11,94234.14
67,checking,3570086724780393,14760.91,2020-04-16,25979.09
460,checking,3564617468953230,54466.09,2020-03-03,3472.35
231,ceditcard,3552848555879624,57785.97,2020-07-21,97022.93
323,checking,3541389401843419,1710.68,2019-12-09,21663.00
434,saving,3583040401855288,88999.94,2020-03-27,93701.87
206,saving,30353795923108,83134.77,2020-02-26,84582.91
469,checking,3577402885201561,81616.91,2020-05-27,45021.59
174,saving,4041595617074663,11744.74,2020-01-08,16046.44
305,ceditcard,5102760066257804,71069.30,2019-09-25,19566.03
433,saving,3542234427847904,43775.63,2020-08-18,18426.85
173,saving,4508732668188219,1304.22,2020-01-16,7009.08
222,checking,0604528958981631,8033.88,2020-08-19,53771.87
450,ceditcard,3568791842900617,5403.08,2020-08-20,19883.70
28,saving,3563810296643369,85017.06,2020-06-03,93720.81
405,checking,503893241612912116,69421.64,2020-01-18,30403.57
392,saving,3548138109823758,38665.98,2020-07-22,47994.03
168,ceditcard,5602239074004925,64363.67,2020-02-07,14797.13
318,saving,5602258348704425,53541.20,2020-08-29,81101.64
12,checking,3528875926723471,88390.01,2020-05-27,7614.17
378,checking,5100142387355090,34574.71,2020-03-22,45419.28
297,saving,3571353539845244,22975.65,2020-03-01,59859.40
110,checking,36275967509742,70713.99,2019-10-18,9334.23
249,ceditcard,4175008573974924,97970.02,2019-10-03,1060.93
148,checking,56022232745474358,77366.78,2020-04-06,34938.68
447,ceditcard,5399627241361151,63919.61,2020-05-12,22472.75
434,checking,6333380629358597016,20178.51,2020-02-12,6830.89
216,ceditcard,3571438006819531,31988.01,2020-07-05,40563.82
414,ceditcard,36047504461418,40924.06,2020-03-25,42458.68
492,checking,347239722013824,6050.43,2019-11-28,74165.24
283,checking,6767009858604953,22636.49,2020-08-04,73318.41
206,ceditcard,3535869245741851,1938.17,2020-04-11,20211.56
252,saving,3536097429056362,30399.28,2019-12-06,30919.33
118,saving,3557176737351766,63339.44,2019-10-12,76592.49
299,checking,6762564270771053424,65358.96,2020-06-19,88210.19
103,ceditcard,3550721537236894,99200.09,2020-03-29,65702.54
433,ceditcard,5007662597833481,30618.99,2020-04-19,76128.02
483,saving,3551435223489589,36146.30,2019-09-17,13424.87
183,checking,3571540587589886,64014.43,2020-03-20,53598.94
320,saving,3558728684921683,642.92,2020-08-22,22254.64
248,checking,374288055394687,52745.15,2020-02-17,45640.47
49,saving,3536010279906149,60495.25,2020-06-17,2807.07
280,ceditcard,633466579518654510,44524.63,2020-03-18,87068.87
333,checking,3541192714753238,33387.59,2020-08-05,43601.30
31,saving,3562092707124518,73221.58,2020-05-12,68988.53
74,checking,374622692994337,63327.58,2020-07-28,1800.46
308,ceditcard,5602237554798214,73195.05,2019-11-13,1242.09
323,checking,5893086413370170,83219.31,2019-10-06,62237.94
337,ceditcard,3584750855777684,81664.36,2020-05-11,43881.40
137,checking,3571385554544864,72640.24,2020-02-19,74176.03
131,ceditcard,564182672753334813,77018.11,2019-10-21,80871.32
197,checking,3562339534299694,41901.51,2020-03-25,10440.69
201,checking,4844850894966456,73850.36,2019-12-12,87374.62
355,saving,6763797428267107305,34923.56,2019-09-19,98425.84
249,ceditcard,374622318235404,23439.02,2019-11-09,8488.11
443,saving,6385062097524138,24098.69,2020-02-12,30027.59
184,ceditcard,6385551318136425,8988.57,2020-07-28,3636.65
8,checking,4844481391667437,66142.80,2020-01-25,77482.85
304,saving,201406189189968,80933.23,2020-03-03,28427.73
142,checking,3568265472414165,34255.00,2020-02-18,82824.41
280,ceditcard,5002357233665364,75304.28,2020-08-28,49783.85
495,checking,3549742989888093,36454.19,2019-11-17,20307.30
308,saving,3556551913498501,58175.04,2020-01-07,60358.50
341,checking,3578488619168084,62746.53,2019-12-15,67962.01
277,saving,5100172586965597,85245.45,2020-01-05,18441.60
385,saving,337941402662299,50619.94,2020-05-27,97595.58
308,saving,337941267960259,46305.13,2020-02-19,89225.49
454,checking,4041590794576663,82642.08,2020-08-15,96768.75
232,checking,5602253538253531,29627.34,2019-09-14,78829.04
357,checking,3574722146230627,22572.13,2019-10-29,60110.74
479,checking,5425646190812665,88109.42,2019-09-19,47617.22
299,checking,3538898335924959,89605.48,2020-08-27,95055.41
59,saving,6333216179824187,30441.78,2020-03-14,50156.93
51,saving,3551350004668741,13621.37,2020-01-06,77879.32
116,checking,4041377115431,42857.22,2020-04-15,50064.81
322,saving,36894171071024,67918.17,2020-05-16,73019.83
245,checking,3529639193529154,16229.71,2020-06-13,51721.59
298,saving,3562593950132769,56567.73,2020-04-24,30060.45
346,checking,3573716148278106,36951.19,2020-01-02,93708.89
312,checking,3572584524612558,95902.17,2020-01-11,7745.76
132,ceditcard,3558950370297133,34874.08,2020-04-26,5250.61
5,ceditcard,5384940754904169,55075.16,2019-12-07,85403.47
72,ceditcard,6762322056460994,22443.38,2020-02-23,31928.57
350,checking,30548424120709,39440.93,2020-06-17,83277.25
340,checking,4136069107876,66921.35,2019-11-07,71092.13
491,ceditcard,3538818804585719,28102.01,2020-01-07,76645.18
422,saving,36412070912972,46011.47,2020-05-04,66953.51
299,checking,374288245795736,44946.88,2020-02-23,27676.58
115,saving,5100140503506356,61380.48,2020-05-05,9546.88
211,checking,3586640353943755,19702.15,2020-05-24,3709.57
181,checking,4405325003055203,88097.74,2020-06-08,29664.74
165,saving,5602239288407112,8364.94,2020-05-09,87191.48
489,saving,67599831910973753,77321.03,2020-08-26,64936.85
418,saving,3578635463033950,81091.64,2020-03-26,71519.35
446,saving,30372353843904,98943.94,2019-12-16,99969.23
203,saving,3529437028729903,62427.89,2019-12-09,5139.17
15,ceditcard,3544332354741138,16907.16,2019-09-29,44909.36
194,checking,3545283763647904,65257.58,2019-09-09,3812.56
388,checking,3543104822377493,40900.68,2019-11-24,94442.97
449,ceditcard,3582279398094268,23605.99,2020-03-08,34206.07
277,checking,3548648923549967,31264.89,2019-12-13,27244.35
401,saving,3530156886804718,16465.57,2020-02-05,10912.76
236,ceditcard,3545770655535502,21702.71,2019-10-21,30887.17
397,checking,3584187059615982,55168.37,2019-12-28,65639.12
108,checking,4905282105885232,18522.60,2020-04-11,21240.04
81,checking,3577918128599800,75480.71,2019-12-09,46320.83
173,ceditcard,6771416922041670129,70205.11,2019-11-11,40799.57
87,ceditcard,3562195651226401,18678.65,2019-12-22,30770.68
86,ceditcard,3535726406416352,40060.38,2020-08-10,90551.20
239,ceditcard,3567318194321738,71233.77,2020-04-23,71283.79
184,ceditcard,4041377087895,94579.36,2020-07-17,28257.84
428,checking,3567477745427244,14307.17,2020-08-20,29402.01
498,saving,3586088081157720,75596.91,2020-08-21,56502.76
55,saving,3589790153184238,9529.30,2019-09-27,48916.12
472,saving,5214810824487451,63023.26,2020-06-10,88567.38
202,ceditcard,374283080426091,83273.22,2020-07-27,93744.95
381,saving,3543554656397936,14767.42,2020-07-27,91207.03
197,checking,63042929205204629,51542.09,2020-06-03,16448.20
212,ceditcard,5561134479351600,78693.44,2020-04-19,71686.43
149,checking,5602238329020934,22786.50,2020-08-16,82688.30
164,checking,3582642619083792,66763.04,2020-05-23,40296.06
252,saving,30263819264860,3551.72,2020-03-06,85809.97
274,saving,3567376674425932,2138.44,2019-12-02,62043.97
437,saving,5100134324392781,59387.81,2020-07-29,27640.92
128,ceditcard,5602230464560816,69220.43,2020-05-07,25385.77
30,ceditcard,676313007736919766,36420.58,2020-07-04,82899.57
307,checking,4844765225673912,64634.32,2020-01-06,5161.11
8,ceditcard,3562321948847177,29086.39,2020-03-21,10479.29
388,checking,4913203615388350,79572.89,2019-09-12,88779.92
90,saving,0604341634464851,94060.73,2020-06-29,54096.92
447,checking,67594465022887208,62514.84,2019-10-21,32906.65
392,checking,3538686092230615,73100.25,2020-03-12,91770.85
93,ceditcard,6333658078868262296,73292.30,2020-06-06,62946.83
442,ceditcard,3572460276085386,69787.87,2020-01-13,61526.23
244,checking,6331103451722242,1883.01,2020-04-09,63995.58
415,checking,5507586950025010,50796.01,2020-01-30,71212.88
440,checking,3551263834790678,36566.03,2020-06-07,55394.53
394,saving,372301612436438,90859.11,2020-06-19,25405.24
321,saving,4041596377408,22585.31,2019-12-19,40754.33
22,ceditcard,3530846242921616,36771.00,2019-09-17,39010.46
279,ceditcard,5506275199685088,85153.79,2019-09-10,78261.91
229,ceditcard,3533963659097025,53354.16,2019-09-08,14124.91
159,saving,6761866230798153968,78688.00,2020-06-01,46942.86
125,saving,3574626829436833,48357.75,2020-08-15,26844.88
89,checking,06041540951183220,46781.83,2020-01-13,2189.61
244,ceditcard,30279710515556,14284.93,2020-08-05,61422.49
31,ceditcard,3589927650841403,28032.11,2020-03-27,44149.31
221,checking,3586726704710785,38722.26,2020-01-12,86421.94
323,ceditcard,5602244006586189,11931.03,2019-09-14,87034.68
198,saving,3573654990687357,86190.98,2019-11-19,14501.17
84,ceditcard,5484170873394261,36172.90,2020-07-28,82962.16
104,checking,3545255093152078,35627.41,2020-07-09,31119.41
401,checking,6334435639636992890,51534.54,2020-07-12,8764.19
339,checking,5048370042201202,14552.30,2020-04-22,37009.76
223,checking,6763558421679895533,4176.11,2020-09-03,54182.36
143,saving,3534241982956012,59048.37,2020-01-04,3660.90
216,saving,50205154634612694,25309.32,2020-01-06,62433.11
195,ceditcard,4917693587457298,63710.04,2019-10-10,78746.25
424,checking,201419837042752,11505.85,2020-08-18,22408.43
413,saving,5507078921343383,41299.28,2019-11-04,32897.80
58,checking,30537806659475,49796.54,2020-08-23,37491.01
431,ceditcard,3553464868457535,51818.29,2019-11-13,68013.89
183,checking,4844010214454291,55131.38,2020-03-24,52870.51
368,checking,3532311199947757,7954.19,2019-09-05,8328.42
166,checking,6385096263148553,95881.24,2020-04-25,37979.44
69,checking,4017955704411568,34441.21,2020-07-31,28247.58
180,saving,3536966293668884,16173.98,2020-03-27,28482.20
304,saving,3570546834389559,82304.52,2020-08-19,50459.50
235,checking,3554206800700277,10626.10,2020-08-17,79271.52
75,checking,3547908848388037,7600.75,2020-01-05,13941.74
294,saving,5602246897253920202,79172.39,2020-06-03,37105.24
153,checking,5602215443950766,13894.18,2019-09-22,75946.47
223,checking,6372708346348878,84302.04,2019-12-20,39202.57
220,saving,5010125241316027,13925.92,2020-01-06,76154.34
296,saving,3577980893107599,83980.31,2020-08-23,18356.37
46,ceditcard,3588363057870855,85245.25,2019-11-09,79739.22
121,ceditcard,5610333710881876224,16275.41,2020-06-05,16519.29
249,saving,4017954505285,12705.38,2020-03-03,21340.24
421,saving,4913895332328856,54206.94,2019-09-22,44265.28
289,ceditcard,3540079251092388,28655.29,2020-08-10,22077.79
57,checking,493692747301872715,95717.46,2020-06-29,69227.67
135,ceditcard,06045082423690041,15283.69,2019-10-23,85587.41
22,checking,5010124102035461,92465.52,2019-12-28,95278.45
283,saving,4508810886572263,82802.61,2020-01-23,5838.40
76,ceditcard,3529943406263951,63807.71,2020-05-30,89128.13
26,ceditcard,5602229109250809,30166.23,2020-03-16,75185.26
484,checking,4913090252229157,16479.36,2020-04-03,73848.39
258,saving,3545098847174448,55010.11,2020-08-30,89758.27
309,ceditcard,30164630727426,37748.28,2020-03-21,19248.35
364,ceditcard,3536888304966216,7499.49,2019-11-01,49619.98
446,ceditcard,3549052293218676,71501.11,2020-01-04,84474.19
367,ceditcard,6382087092258401,59828.47,2019-10-29,16613.39
296,ceditcard,3549166060190445,56614.45,2020-01-13,97791.71
457,checking,3551477633637431,38124.82,2019-10-09,68990.37
479,ceditcard,4917121187599277,34913.94,2020-05-10,35203.73
401,checking,5100175690812068,11104.17,2020-07-03,40191.19
289,ceditcard,3551055833639652,35857.52,2020-07-04,45203.31
211,ceditcard,56108992283270776,89659.30,2020-01-27,86588.18
214,saving,5893144286733097,78150.84,2020-04-02,64326.27
205,checking,50385840068024776,85479.93,2019-11-06,14323.60
107,ceditcard,3541080475917029,94261.89,2020-04-04,39564.17
237,ceditcard,560221271616697523,65213.94,2020-05-03,32320.24
91,checking,56022267666410882,54389.26,2020-02-06,52927.66
252,saving,3557580183841883,95457.12,2019-12-15,30407.52
17,saving,5048374224963894,20447.81,2020-04-06,37752.17
448,checking,6394956912409244,26372.22,2020-04-17,73061.02
254,saving,677156496731777352,23130.02,2019-09-08,56112.88
188,checking,5048370168549467,59341.34,2020-04-29,24840.07
13,saving,30593086219035,88669.40,2020-07-30,99817.91
393,checking,30009161337238,41360.92,2019-09-23,70204.57
467,checking,3574871040116802,23210.71,2020-05-04,90164.99
107,checking,3542579486676218,4615.52,2019-12-03,26756.40
439,checking,343082283827867,78280.12,2020-08-20,61390.67
287,saving,5100133750059195,53698.96,2020-03-20,13108.05
476,checking,201859114990746,31853.05,2020-02-10,96871.54
476,saving,3588791035396223,77586.77,2020-06-29,61173.45
336,checking,6759457272260383,17784.83,2019-10-29,33441.87
173,checking,3567846762786593,42194.13,2020-07-28,7669.44
119,checking,3556984419574568,72102.44,2020-05-09,57823.49
227,saving,5100130578724984,69681.18,2019-10-23,76835.76
150,saving,5610147462542036,35008.93,2019-11-12,80792.66
262,ceditcard,30008889824980,44814.57,2020-08-08,85766.03
425,saving,6761624803351368265,41852.80,2020-01-31,5866.20
396,saving,633327515839554145,44093.45,2020-07-15,62144.48
408,saving,67091938742107600,1792.60,2020-08-21,3032.41
462,saving,4175002069654348,13693.25,2020-08-20,65419.68
9,ceditcard,6763565731900118864,64515.07,2020-04-04,54224.32
209,checking,3575636525099016,94096.26,2019-10-18,10057.94
433,ceditcard,6767202573076034529,36453.23,2020-05-31,89480.71
315,checking,3566828532049537,91191.13,2020-01-29,86126.59
11,ceditcard,4903342149035974644,4087.80,2019-09-06,43662.49
355,checking,3568725267250546,47337.00,2019-12-03,87504.68
147,checking,5462175875652661,86180.35,2020-06-29,37531.76
243,checking,6333351917822962980,21619.51,2019-12-31,91859.82
402,checking,5602245872751914,65391.03,2019-12-12,11939.40
322,checking,490390216264414890,86569.98,2020-01-28,8101.58
68,ceditcard,3531365558953492,16953.13,2020-08-16,3392.10
492,ceditcard,3532341756420427,28279.66,2020-02-09,65788.70
472,checking,5602213893376319,89203.40,2020-01-04,50766.70
197,ceditcard,3561956151185517,22781.16,2019-09-13,15391.11
476,ceditcard,3548413886862489,19063.99,2019-12-24,87021.23
492,saving,3543375351499029,22415.37,2020-04-27,33022.73
119,checking,3588495446954717,50900.09,2020-08-26,83230.63
366,checking,4917022542485253,81516.98,2020-06-27,32487.21
234,checking,3559575542597935,67513.27,2020-08-31,82755.60
14,checking,3534220864389310,28683.12,2019-10-22,70046.59
66,ceditcard,201496515813720,14013.48,2019-10-24,12048.62
366,checking,30456045039334,55143.38,2020-02-14,9016.48
194,checking,3587314794417741,96488.56,2020-06-10,80403.72
256,saving,5534614460681366,10053.88,2020-02-05,9353.22
329,checking,5581438230636340,32927.00,2020-08-07,9973.99
93,checking,30338328927809,44291.05,2020-08-27,19129.43
95,ceditcard,3551935207528211,62595.04,2019-12-02,35237.28
412,saving,3537288773757114,22275.91,2020-03-20,83853.12
364,saving,3579222923599737,42955.79,2020-08-01,94176.08
471,saving,5100140679236192,25535.39,2019-10-14,2667.05
495,ceditcard,337941218931961,94877.78,2020-05-23,5211.30
240,saving,4917044137166858,56932.19,2020-05-25,27640.04
304,checking,67099758262147006,22048.21,2020-04-04,51972.79
93,checking,3554126930843849,97603.69,2020-04-02,76514.81
296,saving,6762397933717840013,36769.52,2019-10-04,53341.38
113,checking,201646863286677,81442.86,2019-10-10,14292.17
306,checking,5602236300865236,23917.39,2020-01-30,62986.46
365,saving,30092375826469,55763.88,2020-01-29,72858.70
45,checking,3539693862965767,3895.92,2020-04-05,6318.49
155,saving,6767423420206041,53634.55,2019-10-02,31477.56
243,saving,4041373548201684,96655.84,2020-03-15,98824.57
459,ceditcard,3547564094167508,8109.09,2020-01-13,34721.34
73,saving,491169976313536251,59004.55,2020-01-13,96376.65
64,ceditcard,3563296011510507,77491.25,2020-07-11,81677.77
176,ceditcard,3567310082255680,55465.57,2020-06-12,91026.86
195,ceditcard,3544081205256222,72075.33,2020-01-30,55055.29
211,saving,5007666321242844,65411.18,2019-10-01,24750.67
491,checking,4917149014382427,9518.00,2019-10-05,29255.10
218,ceditcard,3564457579091046,3120.68,2020-02-19,39257.84
74,checking,3583752431861835,26966.93,2019-09-11,23808.87
397,checking,30406430838162,47550.55,2020-04-26,74469.46
356,ceditcard,5020656827055437855,68665.84,2019-11-14,30097.33
204,saving,5380909458801876,30923.19,2020-07-23,15576.87
92,ceditcard,3586598020876768,68735.11,2020-05-05,41150.06
428,saving,4026057998520490,34940.80,2020-02-24,96896.95
194,ceditcard,6385999590891805,14065.41,2020-05-07,76480.08
237,ceditcard,5602223621571784,67149.60,2019-10-29,6064.00
167,saving,6771133567981806878,54429.94,2020-04-14,45644.94
343,ceditcard,633110671332228520,31644.73,2020-05-06,30156.03
366,saving,201890864013173,83676.31,2020-08-11,98524.21
255,checking,4903843271964666860,61495.85,2020-06-01,29573.12
31,checking,4903202380347619,80283.28,2019-11-09,96264.30
46,checking,201881632324356,64570.85,2020-01-12,82022.71
373,checking,3575503574575033,38683.77,2020-01-09,45106.24
391,ceditcard,490370113150151476,85480.69,2019-10-02,70024.90
205,saving,3535878157726404,85582.12,2019-10-07,84853.29
75,saving,63044772545049728,10183.44,2020-05-18,99035.14
336,ceditcard,3549857978821432,7194.69,2020-03-31,81206.04
112,checking,3584326163158519,3252.62,2020-07-08,89274.93
463,ceditcard,3567741037272125,94327.65,2019-09-13,61838.59
163,ceditcard,3577287150048528,71640.02,2019-11-06,95205.32
28,saving,4903775031290122,51770.01,2020-08-26,19937.21
228,ceditcard,3582729578638581,66082.23,2019-11-21,55733.97
284,ceditcard,5108755494240418,60605.96,2020-08-20,37131.01
149,checking,3587930742521225,97150.29,2020-04-06,9846.07
399,saving,501858637375186987,50149.98,2019-09-30,48266.77
89,checking,5100134103975269,20399.93,2020-07-27,64365.73
